,Slowo,Tlumaczenie
1117,enunciar,to enunciate
1118,destituir,to dismiss 
1119,desaprobar,to disapprove of/reject 
1120,sobreponer,to superimpose 
1121,descalzar,to take your shoes off 
1122,murmurar,to mutter
1123,trucar,to fix
1124,comparecer,to appear 
1125,derribar,to demolish 
1126,originar,to originate 
1127,contrastar,to contrast 
1128,restringir,to restrict 
1129,loar,to praise
1130,predisponer,to predispose 
1131,proscribir,to proscribe 
1132,argumentar,to reason
1133,destapar,to uncover 
1134,excavar,to dig 
1135,retroceder,to go back 
1136,presionar,to pressurize
1137,turbar,to disturb
1138,ambicionar,to aspire to 
1139,transportar,to carry 
1140,revolucionar,to revolutionize 
1141,supervisar,to supervise 
1142,repintar,to repaint 
1143,lloriquear,to whimper
1144,exfoliar,to exfoliate 
1145,acedar,to turn sour 
1146,engrosar,to swell 
1147,desenfadar,to soothe
1148,fomentar,to promote
1149,rutilar,to shine
1150,vislumbrar,to make out
1151,rotular,to label 
1152,plantear,to raise 
1153,permutar,to exchange 
1154,indignar,to make angry
1155,recusar,to challenge
1156,intensificar,to intensify 
1157,excretar,to excrete 
1158,conllevar,to convey 
1159,interponer,to interpose 
1160,desistir,to desist 
1161,aturrullar,to get in a state 
1162,desandar,to go back over/retrace the trail 
1163,resguardar,to safeguard 
1164,conceptuar,to consider/judge 
1165,restablecer,to reestablish 
1166,superponer,to superimpose 
1167,amparar,to protect
1168,enmendar,to improve
1169,escurrir,to wring 
1170,exhalar,to exhale 
1171,exagerar,to exaggerate 
1172,plumear,to hatch 
1173,enganchar,to hitch / become addicted 
1174,enturbiar,to go cloudy (liquids) 
1175,desagradar,to displease 
1176,reformar,to reform 
1177,descifrar,to decipher 
1178,desempolvar,to dust off
1179,reforzar,to reinforce 
1180,repercutir,to have an impact on 
1181,preservar,to preservar 
1182,exhumar,to exhume 
1183,eructar,to belch
1184,regenerar,to regenerate 
1185,preceder,to precede 
1186,untar,to spread 
1187,enrollar,to roll / get invloved 
1188,consolidar,to consolidate 
1189,ensanchar,to widen 
1190,tripular,to crew / man 
1191,rebozar,to coat in batter 
1192,colorear,to colour
1193,profanar,to desecrate
1194,entubar,to channel
1195,trasvasar,to decant 
1196,desenroscar,to unscrew 
1197,serruchar,to saw 
1198,resoplar,to puff
1199,derrochar,to waste
1200,exprimir,to squeeze 
1201,derrumbar,to demolish
1202,sobresaltar,to startle
1203,desperdigar,to scatter 
1204,sobrescribir,to overwrite 
1205,desenganchar,to uncouple
1206,equilibrar,to balance 
1207,lamer,to lick 
1208,expectorar,to expectorate 
1209,exonerar,to exonerate 
1210,triturar,to grind
1211,dañar,to damage / hurt 
1212,chorrear,to drip 
1213,cuajar,to curdle 
1214,embarrar,to cover in mud /mess up 
1215,espesar,to thicken 
1216,teñir,to dye 
1217,reñir,to tell sb off 
1218,aliñar,to season
1219,mosquear,to annoy 
1220,culpar,to blame 
1221,señalar,to mark 
1222,engañar,to lie / deceive 
1223,añorar,to miss 
1224,diseñar,to design 
1225,escaldar,to blanch
1226,apuñalar,to stab 
1227,desempeñar,to perform 
1228,regañar,to scold
1229,entrañar,to involve
1230,reseñar,to review
